step,epoch,reward,reward_std,entropy,note
1,0.2,0.8,0.0,0.303,real_grpo
2,0.4,0.455,0.0,0.376,real_grpo
3,0.6,0.5,0.0,1.002,real_grpo
4,0.8,0.546,0.0,1.054,real_grpo
5,1.0,0.4,0.0,0.991,real_grpo
6,1.2,0.4,0.0,0.483,real_grpo
7,1.4,0.455,0.0,1.23,real_grpo
8,1.6,0.5,0.0,2.277,real_grpo
9,1.8,0.8,0.0,2.628,real_grpo
10,2.0,0.546,0.0,0.375,real_grpo
11,2.2,0.546,0.0,1.018,real_grpo
12,2.4,0.8,0.0,0.605,real_grpo
13,2.6,0.5,0.0,1.171,real_grpo
14,2.8,0.4,0.0,2.5,real_grpo
15,3.0,0.455,0.0,1.13,real_grpo
